id,title,description,price,availability,condition,brand,product_type,google_product_category,image_link,link,gtin,mpn,age_group,gender,size,custom_label_0,custom_label_1,custom_label_2,custom_label_3,custom_label_4
bff88a94-e48f-4120-9927-4a7d1e015a8c,"كولومبيـــا توليمـــة - 500 g - حبوب كاملة","محصول فريد من نوعه بسبب امتالك منطقة هرار أقدم وأطول أنواع أشجار البن المزروعة على وجه األرض، مما يجعلها تنتج أنواعا كبيرة من القهوة عالية الجودة. مميز لمشروبات الفلتر الحار و البارد بنكهتة الفاكهية الكالسيكية المتوازنة.",105.00 AED,in stock,new,"المحامص الخضراء","قهوة مقطرة",Food, Beverages & Tobacco > Beverages > Coffee,https://res.cloudinary.com/dgcexgq5g/image/upload/v1751636621/greenroasteries/variations/variations/COL-TOL-MED-ROAS_var_bff88a94-e48f-4120-9927-4a7d1e015a8c.webp,https://thegreenroasteries.com/product/colombia-tolima,COLT-MOR-T-500G-AN,COLT-MOR-T-500G-AN,adult,unisex,"500 g","Arabic Coffee","قهوة مقطرة","","حبوب كاملة","UAE"
f4995723-606d-49e7-8cbe-7c1959e8be2c,"كولومبيـــا توليمـــة - 250 g - حبوب مطحونة","محصول فريد من نوعه بسبب امتالك منطقة هرار أقدم وأطول أنواع أشجار البن المزروعة على وجه األرض، مما يجعلها تنتج أنواعا كبيرة من القهوة عالية الجودة. مميز لمشروبات الفلتر الحار و البارد بنكهتة الفاكهية الكالسيكية المتوازنة.",59.95 AED,in stock,new,"المحامص الخضراء","قهوة مقطرة",Food, Beverages & Tobacco > Beverages > Coffee,https://res.cloudinary.com/dgcexgq5g/image/upload/v1751636627/greenroasteries/variations/variations/COL-TOL-MED-ROAS_var_f4995723-606d-49e7-8cbe-7c1959e8be2c.webp,https://thegreenroasteries.com/product/colombia-tolima,COLT-MOR-G-250G-AN,COLT-MOR-G-250G-AN,adult,unisex,"250 g","Arabic Coffee","قهوة مقطرة","","حبوب مطحونة","UAE"
a0c4f099-e906-42d1-b192-a1f5ff6fb52e,"كولومبيـــا توليمـــة - 1 kg - حبوب مطحونة","محصول فريد من نوعه بسبب امتالك منطقة هرار أقدم وأطول أنواع أشجار البن المزروعة على وجه األرض، مما يجعلها تنتج أنواعا كبيرة من القهوة عالية الجودة. مميز لمشروبات الفلتر الحار و البارد بنكهتة الفاكهية الكالسيكية المتوازنة.",195.00 AED,in stock,new,"المحامص الخضراء","قهوة مقطرة",Food, Beverages & Tobacco > Beverages > Coffee,https://res.cloudinary.com/dgcexgq5g/image/upload/v1751636630/greenroasteries/variations/variations/COL-TOL-MED-ROAS_var_a0c4f099-e906-42d1-b192-a1f5ff6fb52e.webp,https://thegreenroasteries.com/product/colombia-tolima,COLT-MOR-G-1kG-AN,COLT-MOR-G-1kG-AN,adult,unisex,"1 kg","Arabic Coffee","قهوة مقطرة","","حبوب مطحونة","UAE"
4bda16c9-67ad-4770-b241-04b8d496581b,"كولومبيـــا توليمـــة - 500 g - حبوب مطحونة","محصول فريد من نوعه بسبب امتالك منطقة هرار أقدم وأطول أنواع أشجار البن المزروعة على وجه األرض، مما يجعلها تنتج أنواعا كبيرة من القهوة عالية الجودة. مميز لمشروبات الفلتر الحار و البارد بنكهتة الفاكهية الكالسيكية المتوازنة.",105.00 AED,in stock,new,"المحامص الخضراء","قهوة مقطرة",Food, Beverages & Tobacco > Beverages > Coffee,https://res.cloudinary.com/dgcexgq5g/image/upload/v1751636634/greenroasteries/variations/variations/COL-TOL-MED-ROAS_var_4bda16c9-67ad-4770-b241-04b8d496581b.webp,https://thegreenroasteries.com/product/colombia-tolima,COLT-MOR-G-500G-AN,COLT-MOR-G-500G-AN,adult,unisex,"500 g","Arabic Coffee","قهوة مقطرة","","حبوب مطحونة","UAE"
c26d9966-b9b1-43a3-a8b6-d1382f4d7788,"كولومبيـــا توليمـــة - 250 g - حبوب كاملة","محصول فريد من نوعه بسبب امتالك منطقة هرار أقدم وأطول أنواع أشجار البن المزروعة على وجه األرض، مما يجعلها تنتج أنواعا كبيرة من القهوة عالية الجودة. مميز لمشروبات الفلتر الحار و البارد بنكهتة الفاكهية الكالسيكية المتوازنة.",59.95 AED,in stock,new,"المحامص الخضراء","قهوة مقطرة",Food, Beverages & Tobacco > Beverages > Coffee,https://res.cloudinary.com/dgcexgq5g/image/upload/v1751636624/greenroasteries/variations/variations/COL-TOL-MED-ROAS_var_c26d9966-b9b1-43a3-a8b6-d1382f4d7788.webp,https://thegreenroasteries.com/product/colombia-tolima,COLT-MOR-T-250G-AN	,COLT-MOR-T-250G-AN	,adult,unisex,"250 g","Arabic Coffee","قهوة مقطرة","","حبوب كاملة","UAE"
3418e487-872c-4184-9d01-4c9711485466,"كولومبيـــا توليمـــة - 1 kg - حبوب كاملة","محصول فريد من نوعه بسبب امتالك منطقة هرار أقدم وأطول أنواع أشجار البن المزروعة على وجه األرض، مما يجعلها تنتج أنواعا كبيرة من القهوة عالية الجودة. مميز لمشروبات الفلتر الحار و البارد بنكهتة الفاكهية الكالسيكية المتوازنة.",195.00 AED,in stock,new,"المحامص الخضراء","قهوة مقطرة",Food, Beverages & Tobacco > Beverages > Coffee,https://res.cloudinary.com/dgcexgq5g/image/upload/v1751636631/greenroasteries/variations/variations/COL-TOL-MED-ROAS_var_3418e487-872c-4184-9d01-4c9711485466.webp,https://thegreenroasteries.com/product/colombia-tolima,COLT-MOR-T-1KG-AN,COLT-MOR-T-1KG-AN,adult,unisex,"1 kg","Arabic Coffee","قهوة مقطرة","","حبوب كاملة","UAE"
9e333f35-8d90-4bd4-8c1d-06378a93e368,"كينيـــا - 500 g - حبوب كاملة","محصول مميز من المحامص الخضراء يتمتع المحصول بنوتات غنية وجميلة تتناسب مع محبي مشروبات الفلتر الكالسيكي
الخالي من التعقيد وتبرز حالوة المحصول مع مشروبات الحليب بكل أنواعه ويعتبر هذا المحصول مزيج خاص من اختيارنا
الجود المحاصيل.",105.00 AED,in stock,new,"المحامص الخضراء","قهوة مقطرة",Food, Beverages & Tobacco > Beverages > Coffee,https://res.cloudinary.com/dgcexgq5g/image/upload/v1751636397/greenroasteries/variations/variations/KEN-MED-ROAS_var_9e333f35-8d90-4bd4-8c1d-06378a93e368.webp,https://thegreenroasteries.com/product/kenya,KE-500G-WB,KE-500G-WB,adult,unisex,"500 g","Arabic Coffee","قهوة مقطرة","","حبوب كاملة","UAE"
3c1516b8-1ee4-4314-9338-b0d3245487e4,"كينيـــا - 1 kg - حبوب مطحونة","محصول مميز من المحامص الخضراء يتمتع المحصول بنوتات غنية وجميلة تتناسب مع محبي مشروبات الفلتر الكالسيكي
الخالي من التعقيد وتبرز حالوة المحصول مع مشروبات الحليب بكل أنواعه ويعتبر هذا المحصول مزيج خاص من اختيارنا
الجود المحاصيل.",195.00 AED,in stock,new,"المحامص الخضراء","قهوة مقطرة",Food, Beverages & Tobacco > Beverages > Coffee,https://res.cloudinary.com/dgcexgq5g/image/upload/v1751636399/greenroasteries/variations/variations/KEN-MED-ROAS_var_3c1516b8-1ee4-4314-9338-b0d3245487e4.webp,https://thegreenroasteries.com/product/kenya,KE-1KG-GG,KE-1KG-GG,adult,unisex,"1 kg","Arabic Coffee","قهوة مقطرة","","حبوب مطحونة","UAE"
8ff60635-5c8f-4010-8cb9-58050db41d17,"كينيـــا - 1 kg - حبوب كاملة","محصول مميز من المحامص الخضراء يتمتع المحصول بنوتات غنية وجميلة تتناسب مع محبي مشروبات الفلتر الكالسيكي
الخالي من التعقيد وتبرز حالوة المحصول مع مشروبات الحليب بكل أنواعه ويعتبر هذا المحصول مزيج خاص من اختيارنا
الجود المحاصيل.",195.00 AED,in stock,new,"المحامص الخضراء","قهوة مقطرة",Food, Beverages & Tobacco > Beverages > Coffee,https://res.cloudinary.com/dgcexgq5g/image/upload/v1751636400/greenroasteries/variations/variations/KEN-MED-ROAS_var_8ff60635-5c8f-4010-8cb9-58050db41d17.webp,https://thegreenroasteries.com/product/kenya,KE-1KG-WB,KE-1KG-WB,adult,unisex,"1 kg","Arabic Coffee","قهوة مقطرة","","حبوب كاملة","UAE"
92cc0d07-bffd-4dfb-86ff-5359efc8935a,"كينيـــا - 500 g - حبوب مطحونة","محصول مميز من المحامص الخضراء يتمتع المحصول بنوتات غنية وجميلة تتناسب مع محبي مشروبات الفلتر الكالسيكي
الخالي من التعقيد وتبرز حالوة المحصول مع مشروبات الحليب بكل أنواعه ويعتبر هذا المحصول مزيج خاص من اختيارنا
الجود المحاصيل.",105.00 AED,in stock,new,"المحامص الخضراء","قهوة مقطرة",Food, Beverages & Tobacco > Beverages > Coffee,https://res.cloudinary.com/dgcexgq5g/image/upload/v1751636620/greenroasteries/variations/variations/KEN-MED-ROAS_var_92cc0d07-bffd-4dfb-86ff-5359efc8935a.webp,https://thegreenroasteries.com/product/kenya,KE-500G-GG,KE-500G-GG,adult,unisex,"500 g","Arabic Coffee","قهوة مقطرة","","حبوب مطحونة","UAE"
bfcb1def-5d71-425e-91aa-a10b3d432e4b,"كينيـــا - 250 g - حبوب مطحونة","محصول مميز من المحامص الخضراء يتمتع المحصول بنوتات غنية وجميلة تتناسب مع محبي مشروبات الفلتر الكالسيكي
الخالي من التعقيد وتبرز حالوة المحصول مع مشروبات الحليب بكل أنواعه ويعتبر هذا المحصول مزيج خاص من اختيارنا
الجود المحاصيل.",59.95 AED,in stock,new,"المحامص الخضراء","قهوة مقطرة",Food, Beverages & Tobacco > Beverages > Coffee,https://res.cloudinary.com/dgcexgq5g/image/upload/v1751636659/greenroasteries/variations/variations/KEN-MED-ROAS_var_bfcb1def-5d71-425e-91aa-a10b3d432e4b.webp,https://thegreenroasteries.com/product/kenya,KE-250G-GG,KE-250G-GG,adult,unisex,"250 g","Arabic Coffee","قهوة مقطرة","","حبوب مطحونة","UAE"
e7fbe728-9152-4746-ae3b-75762086a44f,"كينيـــا - 250 g - حبوب كاملة","محصول مميز من المحامص الخضراء يتمتع المحصول بنوتات غنية وجميلة تتناسب مع محبي مشروبات الفلتر الكالسيكي
الخالي من التعقيد وتبرز حالوة المحصول مع مشروبات الحليب بكل أنواعه ويعتبر هذا المحصول مزيج خاص من اختيارنا
الجود المحاصيل.",59.95 AED,in stock,new,"المحامص الخضراء","قهوة مقطرة",Food, Beverages & Tobacco > Beverages > Coffee,https://res.cloudinary.com/dgcexgq5g/image/upload/v1751636367/greenroasteries/variations/variations/KEN-MED-ROAS_var_e7fbe728-9152-4746-ae3b-75762086a44f.webp,https://thegreenroasteries.com/product/kenya,KE-250G-WB,KE-250G-WB,adult,unisex,"250 g","Arabic Coffee","قهوة مقطرة","","حبوب كاملة","UAE"
1c4723f8-74ac-4b9b-8cb7-916944131dc1,"اثيوبيـــا - 250 g - هيل - حبوب كاملة","نفخر بنكهة القهوة العربية اإلماراتية المحضرة حسب أصولها،
بدءا من انتقاء حبوب البن الخضراء وتحميصها بكل حب حتى ً
إضافة الهيل والزعفران، استمتع بتجربة فريدة للتعرف على تقاليدنا وثقافتنا.",47.95 AED,in stock,new,"المحامص الخضراء","القهوة العربية",Food, Beverages & Tobacco > Beverages > Coffee,https://res.cloudinary.com/dgcexgq5g/image/upload/v1751636388/greenroasteries/variations/variations/ARABICA-ethiopia_var_1c4723f8-74ac-4b9b-8cb7-916944131dc1.webp,https://thegreenroasteries.com/product/ethiopia,ET -250G-T-B,ET -250G-T-B,adult,unisex,"250 g","Arabic Coffee","القهوة العربية","هيل","حبوب كاملة","UAE"
a5815335-89cb-4ac3-b078-0d6fb8a2c48f,"اثيوبيـــا - 1 kg - هيل - حبوب كاملة","نفخر بنكهة القهوة العربية اإلماراتية المحضرة حسب أصولها،
بدءا من انتقاء حبوب البن الخضراء وتحميصها بكل حب حتى ً
إضافة الهيل والزعفران، استمتع بتجربة فريدة للتعرف على تقاليدنا وثقافتنا.",154.00 AED,in stock,new,"المحامص الخضراء","القهوة العربية",Food, Beverages & Tobacco > Beverages > Coffee,https://res.cloudinary.com/dgcexgq5g/image/upload/v1751636391/greenroasteries/variations/variations/ARABICA-ethiopia_var_a5815335-89cb-4ac3-b078-0d6fb8a2c48f.webp,https://thegreenroasteries.com/product/ethiopia,ET -1KG-T-B,ET -1KG-T-B,adult,unisex,"1 kg","Arabic Coffee","القهوة العربية","هيل","حبوب كاملة","UAE"
ad19ec5c-fff1-4e7c-a3f9-1533876b009b,"اثيوبيـــا - 500 g - هيل - حبوب مطحونة","نفخر بنكهة القهوة العربية اإلماراتية المحضرة حسب أصولها،
بدءا من انتقاء حبوب البن الخضراء وتحميصها بكل حب حتى ً
إضافة الهيل والزعفران، استمتع بتجربة فريدة للتعرف على تقاليدنا وثقافتنا.",85.95 AED,in stock,new,"المحامص الخضراء","القهوة العربية",Food, Beverages & Tobacco > Beverages > Coffee,https://res.cloudinary.com/dgcexgq5g/image/upload/v1751636268/greenroasteries/products/products/ARABICA-ethiopia.webp,https://thegreenroasteries.com/product/ethiopia,ET -500G-G-B,ET -500G-G-B,adult,unisex,"500 g","Arabic Coffee","القهوة العربية","هيل","حبوب مطحونة","UAE"
7e0c19f3-8571-4ab1-a6d7-b813e33555f2,"اثيوبيـــا - 250 g - زعفران - حبوب كاملة","نفخر بنكهة القهوة العربية اإلماراتية المحضرة حسب أصولها،
بدءا من انتقاء حبوب البن الخضراء وتحميصها بكل حب حتى ً
إضافة الهيل والزعفران، استمتع بتجربة فريدة للتعرف على تقاليدنا وثقافتنا.",54.95 AED,in stock,new,"المحامص الخضراء","القهوة العربية",Food, Beverages & Tobacco > Beverages > Coffee,https://res.cloudinary.com/dgcexgq5g/image/upload/v1751636434/greenroasteries/variations/variations/ARABICA-ethiopia_var_7e0c19f3-8571-4ab1-a6d7-b813e33555f2.webp,https://thegreenroasteries.com/product/ethiopia,ET-SF-250G-T,ET-SF-250G-T,adult,unisex,"250 g","Arabic Coffee","القهوة العربية","زعفران","حبوب كاملة","UAE"
