id,title,description,availability,condition,price,link,image_link,brand,google_product_category,product_type,additional_image_link,sale_price,item_group_id,color,size,material,gender,age_group,custom_label_0,custom_label_1,custom_label_2,custom_label_3,custom_label_4
ddf11358-7cd3-44ab-9f94-80a30bdc91bb_en,Brazil - 1000g whole beans,"Enjoy the original taste of coffee through a distinctive and carefully selected Brazilian crop. It provides a balanced taste with clear, classic overtones such as hazelnut and chocolate. It is suitable for milk drinks, black coffee and filter coffee.",in stock,new,165.00 AED,https://thegreenroasteries.com/product/-brazil,https://res.cloudinary.com/dgcexgq5g/image/upload/v1751636505/greenroasteries/variations/variations/ESS-BR_var_ddf11358-7cd3-44ab-9f94-80a30bdc91bb.webp,Green Roasteries,"Food, Beverages & Tobacco > Beverages > Coffee",ESPRESSO ROAST,https://res.cloudinary.com/dgcexgq5g/image/upload/v1751636735/greenroasteries/gallery/gallery/ESS-BR_img_ee09eb72-5a38-4072-b042-7bf6f57e72e8.webp,,43258a5b-6539-4f35-bff8-7ffa45bbd965,Brown,1000g,Coffee,unisex,adult,en,Brazil,ESPRESSO ROAST,Medium Roast,whole beans
2c860f90-3459-44d8-ab56-441bbb9c9f32_en,Brazil - 1000g Ground grains,"Enjoy the original taste of coffee through a distinctive and carefully selected Brazilian crop. It provides a balanced taste with clear, classic overtones such as hazelnut and chocolate. It is suitable for milk drinks, black coffee and filter coffee.",in stock,new,165.00 AED,https://thegreenroasteries.com/product/-brazil,https://res.cloudinary.com/dgcexgq5g/image/upload/v1751636507/greenroasteries/variations/variations/ESS-BR_var_2c860f90-3459-44d8-ab56-441bbb9c9f32.webp,Green Roasteries,"Food, Beverages & Tobacco > Beverages > Coffee",ESPRESSO ROAST,https://res.cloudinary.com/dgcexgq5g/image/upload/v1751636735/greenroasteries/gallery/gallery/ESS-BR_img_ee09eb72-5a38-4072-b042-7bf6f57e72e8.webp,,43258a5b-6539-4f35-bff8-7ffa45bbd965,Brown,1000g,Coffee,unisex,adult,en,Brazil,ESPRESSO ROAST,Medium Roast,Ground grains
7e77ce0b-9b86-4ecd-9cb2-801fdf067ecf_en,Brazil - 500g whole beans,"Enjoy the original taste of coffee through a distinctive and carefully selected Brazilian crop. It provides a balanced taste with clear, classic overtones such as hazelnut and chocolate. It is suitable for milk drinks, black coffee and filter coffee.",in stock,new,89.95 AED,https://thegreenroasteries.com/product/-brazil,https://res.cloudinary.com/dgcexgq5g/image/upload/v1751636572/greenroasteries/variations/variations/ESS-BR_var_7e77ce0b-9b86-4ecd-9cb2-801fdf067ecf.webp,Green Roasteries,"Food, Beverages & Tobacco > Beverages > Coffee",ESPRESSO ROAST,https://res.cloudinary.com/dgcexgq5g/image/upload/v1751636735/greenroasteries/gallery/gallery/ESS-BR_img_ee09eb72-5a38-4072-b042-7bf6f57e72e8.webp,,43258a5b-6539-4f35-bff8-7ffa45bbd965,Brown,500g,Coffee,unisex,adult,en,Brazil,ESPRESSO ROAST,Medium Roast,whole beans
e2fa9cb0-9f9a-4c81-9e59-0c1b9a30bbdc_en,Brazil - 500g Ground grains,"Enjoy the original taste of coffee through a distinctive and carefully selected Brazilian crop. It provides a balanced taste with clear, classic overtones such as hazelnut and chocolate. It is suitable for milk drinks, black coffee and filter coffee.",in stock,new,89.95 AED,https://thegreenroasteries.com/product/-brazil,https://res.cloudinary.com/dgcexgq5g/image/upload/v1751636580/greenroasteries/variations/variations/ESS-BR_var_e2fa9cb0-9f9a-4c81-9e59-0c1b9a30bbdc.webp,Green Roasteries,"Food, Beverages & Tobacco > Beverages > Coffee",ESPRESSO ROAST,https://res.cloudinary.com/dgcexgq5g/image/upload/v1751636735/greenroasteries/gallery/gallery/ESS-BR_img_ee09eb72-5a38-4072-b042-7bf6f57e72e8.webp,,43258a5b-6539-4f35-bff8-7ffa45bbd965,Brown,500g,Coffee,unisex,adult,en,Brazil,ESPRESSO ROAST,Medium Roast,Ground grains
e2fda84f-4cfd-48a9-aafb-2690cabddba4_en,Brazil - 250g whole beans,"Enjoy the original taste of coffee through a distinctive and carefully selected Brazilian crop. It provides a balanced taste with clear, classic overtones such as hazelnut and chocolate. It is suitable for milk drinks, black coffee and filter coffee.",in stock,new,49.95 AED,https://thegreenroasteries.com/product/-brazil,https://res.cloudinary.com/dgcexgq5g/image/upload/v1751636586/greenroasteries/variations/variations/ESS-BR_var_e2fda84f-4cfd-48a9-aafb-2690cabddba4.webp,Green Roasteries,"Food, Beverages & Tobacco > Beverages > Coffee",ESPRESSO ROAST,https://res.cloudinary.com/dgcexgq5g/image/upload/v1751636735/greenroasteries/gallery/gallery/ESS-BR_img_ee09eb72-5a38-4072-b042-7bf6f57e72e8.webp,,43258a5b-6539-4f35-bff8-7ffa45bbd965,Brown,250g,Coffee,unisex,adult,en,Brazil,ESPRESSO ROAST,Medium Roast,whole beans
16043397-35ab-4726-a3a6-d9a33e369f23_en,Brazil - 250g Ground grains,"Enjoy the original taste of coffee through a distinctive and carefully selected Brazilian crop. It provides a balanced taste with clear, classic overtones such as hazelnut and chocolate. It is suitable for milk drinks, black coffee and filter coffee.",in stock,new,49.95 AED,https://thegreenroasteries.com/product/-brazil,https://res.cloudinary.com/dgcexgq5g/image/upload/v1751636602/greenroasteries/variations/variations/ESS-BR_var_16043397-35ab-4726-a3a6-d9a33e369f23.webp,Green Roasteries,"Food, Beverages & Tobacco > Beverages > Coffee",ESPRESSO ROAST,https://res.cloudinary.com/dgcexgq5g/image/upload/v1751636735/greenroasteries/gallery/gallery/ESS-BR_img_ee09eb72-5a38-4072-b042-7bf6f57e72e8.webp,,43258a5b-6539-4f35-bff8-7ffa45bbd965,Brown,250g,Coffee,unisex,adult,en,Brazil,ESPRESSO ROAST,Medium Roast,Ground grains
ddf11358-7cd3-44ab-9f94-80a30bdc91bb_ar,برازيـــل - 1000g حبوب كاملة,ستمتع بمذاق القهوة االصلي من خالل محصول برازيلي مميز ومنتقي بعناية، يتيح مذاق متوازن وبإيحاءات كالسيكية واضحة كالبندق ، الشوكوالتة يتناسب مع مشروبات الحليب والقهوة السوداء.,in stock,new,165.00 AED,https://thegreenroasteries.com/product/-brazil?lang=ar,https://res.cloudinary.com/dgcexgq5g/image/upload/v1751636505/greenroasteries/variations/variations/ESS-BR_var_ddf11358-7cd3-44ab-9f94-80a30bdc91bb.webp,المحامص الخضراء,"Food, Beverages & Tobacco > Beverages > Coffee",تحميص الإسبريسو,https://res.cloudinary.com/dgcexgq5g/image/upload/v1751636735/greenroasteries/gallery/gallery/ESS-BR_img_ee09eb72-5a38-4072-b042-7bf6f57e72e8.webp,,43258a5b-6539-4f35-bff8-7ffa45bbd965,Brown,1000g,قهوة,unisex,adult,ar,Brazil,تحميص الإسبريسو,تحميص متوسط,حبوب كاملة
2c860f90-3459-44d8-ab56-441bbb9c9f32_ar,برازيـــل - 1000g حبوب مطحونة,ستمتع بمذاق القهوة االصلي من خالل محصول برازيلي مميز ومنتقي بعناية، يتيح مذاق متوازن وبإيحاءات كالسيكية واضحة كالبندق ، الشوكوالتة يتناسب مع مشروبات الحليب والقهوة السوداء.,in stock,new,165.00 AED,https://thegreenroasteries.com/product/-brazil?lang=ar,https://res.cloudinary.com/dgcexgq5g/image/upload/v1751636507/greenroasteries/variations/variations/ESS-BR_var_2c860f90-3459-44d8-ab56-441bbb9c9f32.webp,المحامص الخضراء,"Food, Beverages & Tobacco > Beverages > Coffee",تحميص الإسبريسو,https://res.cloudinary.com/dgcexgq5g/image/upload/v1751636735/greenroasteries/gallery/gallery/ESS-BR_img_ee09eb72-5a38-4072-b042-7bf6f57e72e8.webp,,43258a5b-6539-4f35-bff8-7ffa45bbd965,Brown,1000g,قهوة,unisex,adult,ar,Brazil,تحميص الإسبريسو,تحميص متوسط,حبوب مطحونة
7e77ce0b-9b86-4ecd-9cb2-801fdf067ecf_ar,برازيـــل - 500g حبوب كاملة,ستمتع بمذاق القهوة االصلي من خالل محصول برازيلي مميز ومنتقي بعناية، يتيح مذاق متوازن وبإيحاءات كالسيكية واضحة كالبندق ، الشوكوالتة يتناسب مع مشروبات الحليب والقهوة السوداء.,in stock,new,89.95 AED,https://thegreenroasteries.com/product/-brazil?lang=ar,https://res.cloudinary.com/dgcexgq5g/image/upload/v1751636572/greenroasteries/variations/variations/ESS-BR_var_7e77ce0b-9b86-4ecd-9cb2-801fdf067ecf.webp,المحامص الخضراء,"Food, Beverages & Tobacco > Beverages > Coffee",تحميص الإسبريسو,https://res.cloudinary.com/dgcexgq5g/image/upload/v1751636735/greenroasteries/gallery/gallery/ESS-BR_img_ee09eb72-5a38-4072-b042-7bf6f57e72e8.webp,,43258a5b-6539-4f35-bff8-7ffa45bbd965,Brown,500g,قهوة,unisex,adult,ar,Brazil,تحميص الإسبريسو,تحميص متوسط,حبوب كاملة
e2fa9cb0-9f9a-4c81-9e59-0c1b9a30bbdc_ar,برازيـــل - 500g حبوب مطحونة,ستمتع بمذاق القهوة االصلي من خالل محصول برازيلي مميز ومنتقي بعناية، يتيح مذاق متوازن وبإيحاءات كالسيكية واضحة كالبندق ، الشوكوالتة يتناسب مع مشروبات الحليب والقهوة السوداء.,in stock,new,89.95 AED,https://thegreenroasteries.com/product/-brazil?lang=ar,https://res.cloudinary.com/dgcexgq5g/image/upload/v1751636580/greenroasteries/variations/variations/ESS-BR_var_e2fa9cb0-9f9a-4c81-9e59-0c1b9a30bbdc.webp,المحامص الخضراء,"Food, Beverages & Tobacco > Beverages > Coffee",تحميص الإسبريسو,https://res.cloudinary.com/dgcexgq5g/image/upload/v1751636735/greenroasteries/gallery/gallery/ESS-BR_img_ee09eb72-5a38-4072-b042-7bf6f57e72e8.webp,,43258a5b-6539-4f35-bff8-7ffa45bbd965,Brown,500g,قهوة,unisex,adult,ar,Brazil,تحميص الإسبريسو,تحميص متوسط,حبوب مطحونة
